97
1.00000     0.00029 0.0
0.99893     0.00062 0.0
0.99572     0.00162 0.0
0.99039     0.00325 0.0
0.98296     0.00528 0.0
0.97347     0.00777 0.0
0.96194     0.01050 0.0
0.94844     0.01349 0.0
0.93301     0.01683 0.0
0.91573     0.02050 0.0
0.89668     0.02455 0.0
0.87592     0.02899 0.0
0.85355     0.03388 0.0
0.82967     0.03921 0.0
0.80438     0.04499 0.0
0.77779     0.05121 0.0
0.75000     0.05783 0.0
0.72114     0.06479 0.0
0.69134     0.07203 0.0
0.66072     0.07947 0.0
0.62941     0.08702 0.0
0.59755     0.09461 0.0
0.56526     0.10209 0.0
0.53270     0.10928 0.0
0.50000     0.11592 0.0
0.46730     0.12168 0.0
0.43474     0.12630 0.0
0.40245     0.12957 0.0
0.37059     0.13139 0.0
0.33928     0.13177 0.0
0.30866     0.13075 0.0
0.27886     0.12842 0.0
0.25000     0.12490 0.0
0.22221     0.12032 0.0
0.19562     0.11481 0.0
0.17033     0.10849 0.0
0.14645     0.10148 0.0
0.12408     0.09387 0.0
0.10332     0.08575 0.0
0.08427     0.07724 0.0
0.06699     0.06843 0.0
0.05156     0.05942 0.0
0.03806     0.05035 0.0
0.02653     0.04133 0.0
0.01704     0.03254 0.0
0.00961     0.02407 0.0
0.00428     0.01610 0.0
0.00107     0.00840 0.0
0.00000     0.00000 0.0
0.00107     -0.01027 0.0
0.00428     -0.02084 0.0
0.00961     -0.03119 0.0
0.01704     -0.04116 0.0
0.02653     -0.05117 0.0
0.03806     -0.06075 0.0
0.05156     -0.06981 0.0
0.06699     -0.07847 0.0
0.08427     -0.08673 0.0
0.10332     -0.09454 0.0
0.12408     -0.10181 0.0
0.14645     -0.10837 0.0
0.17033     -0.11406 0.0
0.19562     -0.11874 0.0
0.22221     -0.12233 0.0
0.25000     -0.12480 0.0
0.27886     -0.12604 0.0
0.30866     -0.12599 0.0
0.33928     -0.12461 0.0
0.37059     -0.12194 0.0
0.40245     -0.11799 0.0
0.43474     -0.11277 0.0
0.46730     -0.10623 0.0
0.50000     -0.09842 0.0
0.53270     -0.08953 0.0
0.56526     -0.07980 0.0
0.59755     -0.06953 0.0
0.62941     -0.05910 0.0
0.66072     -0.04886 0.0
0.69134     -0.03913 0.0
0.72114     -0.03020 0.0
0.75000     -0.02226 0.0
0.77779     -0.01550 0.0
0.80438     -0.01006 0.0
0.82967     -0.00594 0.0
0.85355     -0.00303 0.0
0.87592     -0.00123 0.0
0.89668     -0.00038 0.0
0.91573     -0.00035 0.0
0.93301     -0.00096 0.0
0.94844     -0.00201 0.0
0.96194     -0.00337 0.0
0.97347     -0.00480 0.0
0.98296     -0.00601 0.0
0.99039     -0.00696 0.0
0.99572     -0.00728 0.0
0.99893     -0.00739 0.0
1.00000     0.00029 0.0
