33
1.0000     0.0000 0.0
0.9500     0.0115 0.0
0.9000     0.0210 0.0
0.8000     0.0400 0.0
0.7000     0.0580 0.0
0.6000     0.0750 0.0
0.5000     0.0880 0.0
0.4000     0.0950 0.0
0.3000     0.0950 0.0
0.2000     0.0850 0.0
0.1500     0.0777 0.0
0.1000     0.0650 0.0
0.0750     0.0602 0.0
0.0500     0.0480 0.0
0.0250     0.0375 0.0
0.0125     0.0310 0.0
0.0000     0.0150 0.0
0.0125     0.0028 0.0
0.0250     0.0000 0.0
0.0500     0.0000 0.0
0.0750     0.0000 0.0
0.1000     0.0000 0.0
0.1500     0.0000 0.0
0.2000     0.0020 0.0
0.3000     0.0055 0.0
0.4000     0.0070 0.0
0.5000     0.0080 0.0
0.6000     0.0080 0.0
0.7000     0.0070 0.0
0.8000     0.0050 0.0
0.9000     0.0020 0.0
0.9500     0.0000 0.0
1.0000     0.0000 0.0
