81
       1.00000      .00000 0.0
        .99815      .00022 0.0
        .99266      .00097 0.0
        .98370      .00235 0.0
        .97147      .00443 0.0
        .95619      .00720 0.0
        .93810      .01061 0.0
        .91744      .01458 0.0
        .89440      .01901 0.0
        .86920      .02375 0.0
        .84201      .02869 0.0
        .81298      .03371 0.0
        .78227      .03873 0.0
        .75007      .04367 0.0
        .71655      .04844 0.0
        .68186      .05300 0.0
        .64622      .05732 0.0
        .60986      .06135 0.0
        .57300      .06502 0.0
        .53584      .06830 0.0
        .49861      .07112 0.0
        .46151      .07343 0.0
        .42477      .07522 0.0
        .38857      .07641 0.0
        .35310      .07700 0.0
        .31858      .07696 0.0
        .28515      .07625 0.0
        .25298      .07490 0.0
        .22226      .07288 0.0
        .19310      .07020 0.0
        .16566      .06690 0.0
        .14006      .06298 0.0
        .11638      .05847 0.0
        .09475      .05344 0.0
        .07523      .04791 0.0
        .05786      .04199 0.0
        .04274      .03574 0.0
        .02987      .02924 0.0
        .01925      .02268 0.0
        .01095      .01619 0.0
        .00499      .00990 0.0
        .00138      .00405 0.0
        .00008     -.00099 0.0
        .00190     -.00474 0.0
        .00735     -.00774 0.0
        .01597     -.01059 0.0
        .02753     -.01306 0.0
        .04202     -.01505 0.0
        .05943     -.01661 0.0
        .07964     -.01777 0.0
        .10255     -.01851 0.0
        .12803     -.01885 0.0
        .15596     -.01882 0.0
        .18616     -.01846 0.0
        .21847     -.01779 0.0
        .25269     -.01685 0.0
        .28862     -.01568 0.0
        .32603     -.01433 0.0
        .36470     -.01283 0.0
        .40436     -.01125 0.0
        .44476     -.00961 0.0
        .48563     -.00796 0.0
        .52669     -.00632 0.0
        .56767     -.00473 0.0
        .60831     -.00322 0.0
        .64832     -.00184 0.0
        .68742     -.00061 0.0
        .72533      .00044 0.0
        .76177      .00129 0.0
        .79647      .00193 0.0
        .82917      .00236 0.0
        .85961      .00259 0.0
        .88756      .00264 0.0
        .91282      .00254 0.0
        .93520      .00231 0.0
        .95454      .00196 0.0
        .97065      .00152 0.0
        .98337      .00102 0.0
        .99257      .00054 0.0
        .99814      .00016 0.0
       1.00000      .00000 0.0
